"","model","em","iteration","model_converged","model_runtime"
"1","BigSkate_2019-em_recdev_1-iteration_1 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_1 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_1 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_1 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_1 did not run, look at warning and echoinput files to determine why."
"2","BigSkate_2019-em_recdev_1-iteration_10 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_10 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_10 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_10 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_10 did not run, look at warning and echoinput files to determine why."
"3","BigSkate_2019","recdev_1","iteration_2","TRUE","11.3742082675298"
"4","BigSkate_2019-em_recdev_1-iteration_3 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_3 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_3 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_3 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_3 did not run, look at warning and echoinput files to determine why."
"5","BigSkate_2019","recdev_1","iteration_4","TRUE","9.83702788352966"
"6","BigSkate_2019-em_recdev_1-iteration_5 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_5 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_5 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_5 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_5 did not run, look at warning and echoinput files to determine why."
"7","BigSkate_2019-em_recdev_1-iteration_6 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_6 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_6 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_6 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_6 did not run, look at warning and echoinput files to determine why."
"8","BigSkate_2019","recdev_1","iteration_7","TRUE","10.0961215496063"
"9","BigSkate_2019-em_recdev_1-iteration_8 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_8 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_8 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_8 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_8 did not run, look at warning and echoinput files to determine why."
"10","BigSkate_2019-em_recdev_1-iteration_9 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_9 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_9 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_9 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_1-iteration_9 did not run, look at warning and echoinput files to determine why."
"11","BigSkate_2019-em_recdev_2-iteration_1 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_1 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_1 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_1 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_1 did not run, look at warning and echoinput files to determine why."
"12","BigSkate_2019-em_recdev_2-iteration_10 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_10 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_10 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_10 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_10 did not run, look at warning and echoinput files to determine why."
"13","BigSkate_2019","recdev_2","iteration_2","TRUE","10.998700817426"
"14","BigSkate_2019-em_recdev_2-iteration_3 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_3 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_3 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_3 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_3 did not run, look at warning and echoinput files to determine why."
"15","BigSkate_2019","recdev_2","iteration_4","TRUE","7.37543700138728"
"16","BigSkate_2019-em_recdev_2-iteration_5 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_5 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_5 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_5 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_5 did not run, look at warning and echoinput files to determine why."
"17","BigSkate_2019-em_recdev_2-iteration_6 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_6 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_6 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_6 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_6 did not run, look at warning and echoinput files to determine why."
"18","BigSkate_2019","recdev_2","iteration_7","TRUE","9.85216406583786"
"19","BigSkate_2019-em_recdev_2-iteration_8 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_8 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_8 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_8 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_8 did not run, look at warning and echoinput files to determine why."
"20","BigSkate_2019-em_recdev_2-iteration_9 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_9 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_9 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_9 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_2-iteration_9 did not run, look at warning and echoinput files to determine why."
"21","BigSkate_2019-em_recdev_3-iteration_1 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_3-iteration_1 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_3-iteration_1 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_3-iteration_1 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_3-iteration_1 did not run, look at warning and echoinput files to determine why."
"22","BigSkate_2019-em_recdev_3-iteration_10 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_3-iteration_10 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_3-iteration_10 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_3-iteration_10 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_3-iteration_10 did not run, look at warning and echoinput files to determine why."
"23","BigSkate_2019","recdev_3","iteration_2","TRUE","11.2830112338066"
"24","BigSkate_2019-em_recdev_3-iteration_3 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_3-iteration_3 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_3-iteration_3 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_3-iteration_3 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_3-iteration_3 did not run, look at warning and echoinput files to determine why."
"25","BigSkate_2019","recdev_3","iteration_4","TRUE","9.81777379910151"
"26","BigSkate_2019-em_recdev_3-iteration_5 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_3-iteration_5 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_3-iteration_5 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_3-iteration_5 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_3-iteration_5 did not run, look at warning and echoinput files to determine why."
"27","BigSkate_2019-em_recdev_3-iteration_6 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_3-iteration_6 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_3-iteration_6 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_3-iteration_6 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_3-iteration_6 did not run, look at warning and echoinput files to determine why."
"28","BigSkate_2019","recdev_3","iteration_7","TRUE","9.83127333323161"
"29","BigSkate_2019-em_recdev_3-iteration_8 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_3-iteration_8 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_3-iteration_8 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_3-iteration_8 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_3-iteration_8 did not run, look at warning and echoinput files to determine why."
"30","BigSkate_2019-em_recdev_3-iteration_9 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_3-iteration_9 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_3-iteration_9 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_3-iteration_9 did not run, look at warning and echoinput files to determine why.","BigSkate_2019-em_recdev_3-iteration_9 did not run, look at warning and echoinput files to determine why."
"31","Empirical_Wtatage_Age_Selex","recdev_1","iteration_1","TRUE","3.91461129983266"
"32","Empirical_Wtatage_Age_Selex","recdev_1","iteration_10","TRUE","1.70219455162684"
"33","Empirical_Wtatage_Age_Selex","recdev_1","iteration_2","TRUE","3.80300133228302"
"34","Empirical_Wtatage_Age_Selex","recdev_1","iteration_3","TRUE","1.876458132267"
"35","Empirical_Wtatage_Age_Selex","recdev_1","iteration_4","TRUE","2.23487278223038"
"36","Empirical_Wtatage_Age_Selex","recdev_1","iteration_5","TRUE","2.39945988257726"
"37","Empirical_Wtatage_Age_Selex","recdev_1","iteration_6","TRUE","1.86711736520131"
"38","Empirical_Wtatage_Age_Selex","recdev_1","iteration_7","TRUE","2.45123341480891"
"39","Empirical_Wtatage_Age_Selex","recdev_1","iteration_8","TRUE","2.35421443382899"
"40","Empirical_Wtatage_Age_Selex","recdev_1","iteration_9","TRUE","1.87101101875305"
"41","Empirical_Wtatage_Age_Selex","recdev_2","iteration_1","TRUE","3.89820464849472"
"42","Empirical_Wtatage_Age_Selex","recdev_2","iteration_10","TRUE","1.76691841681798"
"43","Empirical_Wtatage_Age_Selex","recdev_2","iteration_2","TRUE","2.47355356613795"
"44","Empirical_Wtatage_Age_Selex","recdev_2","iteration_3","TRUE","2.4908607840538"
"45","Empirical_Wtatage_Age_Selex","recdev_2","iteration_4","TRUE","2.30175843238831"
"46","Empirical_Wtatage_Age_Selex","recdev_2","iteration_5","TRUE","1.81792678435644"
"47","Empirical_Wtatage_Age_Selex","recdev_2","iteration_6","TRUE","2.51282756725947"
"48","Empirical_Wtatage_Age_Selex","recdev_2","iteration_7","TRUE","2.2667253335317"
"49","Empirical_Wtatage_Age_Selex","recdev_2","iteration_8","TRUE","1.66317348480225"
"50","Empirical_Wtatage_Age_Selex","recdev_2","iteration_9","TRUE","2.50239616632462"
"51","Empirical_Wtatage_Age_Selex","recdev_3","iteration_1","TRUE","3.15444473028183"
"52","Empirical_Wtatage_Age_Selex","recdev_3","iteration_10","TRUE","1.60303808053335"
"53","Empirical_Wtatage_Age_Selex","recdev_3","iteration_2","TRUE","3.91618440151215"
"54","Empirical_Wtatage_Age_Selex","recdev_3","iteration_3","TRUE","1.89636961619059"
"55","Empirical_Wtatage_Age_Selex","recdev_3","iteration_4","TRUE","2.50380589962006"
"56","Empirical_Wtatage_Age_Selex","recdev_3","iteration_5","TRUE","2.38447215159734"
"57","Empirical_Wtatage_Age_Selex","recdev_3","iteration_6","TRUE","1.75543449719747"
"58","Empirical_Wtatage_Age_Selex","recdev_3","iteration_7","TRUE","2.37478048404058"
"59","Empirical_Wtatage_Age_Selex","recdev_3","iteration_8","TRUE","2.48807820081711"
"60","Empirical_Wtatage_Age_Selex","recdev_3","iteration_9","TRUE","1.81281674702962"
"61","growth_timevary","recdev_1","iteration_1","TRUE","4.42294894854228"
"62","growth_timevary","recdev_1","iteration_10","FALSE","0.733605500062307"
"63","growth_timevary","recdev_1","iteration_2","TRUE","2.03600140015284"
"64","growth_timevary","recdev_1","iteration_3","TRUE","2.87826670010885"
"65","growth_timevary","recdev_1","iteration_4","TRUE","1.90251630147298"
"66","growth_timevary","recdev_1","iteration_5","TRUE","1.58263923327128"
"67","growth_timevary","recdev_1","iteration_6","FALSE","1.2464614311854"
"68","growth_timevary","recdev_1","iteration_7","TRUE","3.78883600234985"
"69","growth_timevary","recdev_1","iteration_8","TRUE","2.17291016976039"
"70","growth_timevary","recdev_1","iteration_9","FALSE","0.750036382675171"
"71","growth_timevary","recdev_2","iteration_1","TRUE","4.41908931732178"
"72","growth_timevary","recdev_2","iteration_10","FALSE","1.01792261600494"
"73","growth_timevary","recdev_2","iteration_2","TRUE","3.16175183455149"
"74","growth_timevary","recdev_2","iteration_3","TRUE","2.12470124959946"
"75","growth_timevary","recdev_2","iteration_4","TRUE","2.03545315265656"
"76","growth_timevary","recdev_2","iteration_5","TRUE","2.21220261653264"
"77","growth_timevary","recdev_2","iteration_6","FALSE","0.911353496710459"
"78","growth_timevary","recdev_2","iteration_7","TRUE","3.88356288274129"
"79","growth_timevary","recdev_2","iteration_8","TRUE","2.51746078332265"
"80","growth_timevary","recdev_2","iteration_9","FALSE","0.547201081116994"
"81","growth_timevary","recdev_3","iteration_1","TRUE","4.43575491905212"
"82","growth_timevary","recdev_3","iteration_10","FALSE","0.80233515103658"
"83","growth_timevary","recdev_3","iteration_2","FALSE","0.632924485206604"
"84","growth_timevary","recdev_3","iteration_3","TRUE","3.04008101622264"
"85","growth_timevary","recdev_3","iteration_4","TRUE","1.84798460006714"
"86","growth_timevary","recdev_3","iteration_5","TRUE","1.55519116719564"
"87","growth_timevary","recdev_3","iteration_6","TRUE","2.39850431680679"
"88","growth_timevary","recdev_3","iteration_7","TRUE","3.16050466696421"
"89","growth_timevary","recdev_3","iteration_8","TRUE","1.99359245300293"
"90","growth_timevary","recdev_3","iteration_9","TRUE","2.13312113285065"
"91","Hake_2018","recdev_1","iteration_1","FALSE","1.282386469841"
"92","Hake_2018","recdev_1","iteration_10","FALSE","1.10159310102463"
"93","Hake_2018","recdev_1","iteration_2","FALSE","1.14354970057805"
"94","Hake_2018","recdev_1","iteration_3","FALSE","1.18953356742859"
"95","Hake_2018","recdev_1","iteration_4","FALSE","1.05651891628901"
"96","Hake_2018","recdev_1","iteration_5","FALSE","1.32937815189362"
"97","Hake_2018","recdev_1","iteration_6","FALSE","1.08694488604863"
"98","Hake_2018","recdev_1","iteration_7","FALSE","1.19670471747716"
"99","Hake_2018","recdev_1","iteration_8","FALSE","1.22749038537343"
"100","Hake_2018","recdev_1","iteration_9","FALSE","1.16231736739477"
"101","Hake_2018","recdev_2","iteration_1","FALSE","1.19004943370819"
"102","Hake_2018","recdev_2","iteration_10","FALSE","1.19715938568115"
"103","Hake_2018","recdev_2","iteration_2","FALSE","1.14393700361252"
"104","Hake_2018","recdev_2","iteration_3","FALSE","1.05915763378143"
"105","Hake_2018","recdev_2","iteration_4","FALSE","1.24559388160706"
"106","Hake_2018","recdev_2","iteration_5","FALSE","1.156374335289"
"107","Hake_2018","recdev_2","iteration_6","FALSE","1.21332533359528"
"108","Hake_2018","recdev_2","iteration_7","FALSE","1.08598768313726"
"109","Hake_2018","recdev_2","iteration_8","FALSE","1.15335476795832"
"110","Hake_2018","recdev_2","iteration_9","FALSE","1.25667178233465"
"111","Hake_2018","recdev_3","iteration_1","FALSE","1.1747278491656"
"112","Hake_2018","recdev_3","iteration_10","FALSE","1.22727549870809"
"113","Hake_2018","recdev_3","iteration_2","FALSE","1.13086589972178"
"114","Hake_2018","recdev_3","iteration_3","FALSE","1.07745626767476"
"115","Hake_2018","recdev_3","iteration_4","FALSE","1.08456193208694"
"116","Hake_2018","recdev_3","iteration_5","FALSE","1.17752856810888"
"117","Hake_2018","recdev_3","iteration_6","FALSE","1.09046811660131"
"118","Hake_2018","recdev_3","iteration_7","FALSE","1.246783999602"
"119","Hake_2018","recdev_3","iteration_8","FALSE","1.10911790132523"
"120","Hake_2018","recdev_3","iteration_9","FALSE","1.14184925158819"
"121","Hake_2019_semi-parametric_selex","recdev_1","iteration_1","FALSE","1.19306090275447"
"122","Hake_2019_semi-parametric_selex","recdev_1","iteration_10","FALSE","1.3650222659111"
"123","Hake_2019_semi-parametric_selex","recdev_1","iteration_2","FALSE","1.1904998143514"
"124","Hake_2019_semi-parametric_selex","recdev_1","iteration_3","FALSE","1.19650095303853"
"125","Hake_2019_semi-parametric_selex","recdev_1","iteration_4","FALSE","1.10967338085175"
"126","Hake_2019_semi-parametric_selex","recdev_1","iteration_5","FALSE","1.20235956509908"
"127","Hake_2019_semi-parametric_selex","recdev_1","iteration_6","FALSE","1.3349670012792"
"128","Hake_2019_semi-parametric_selex","recdev_1","iteration_7","FALSE","1.27443636655807"
"129","Hake_2019_semi-parametric_selex","recdev_1","iteration_8","FALSE","1.22757736444473"
"130","Hake_2019_semi-parametric_selex","recdev_1","iteration_9","FALSE","1.40640174945196"
"131","Hake_2019_semi-parametric_selex","recdev_2","iteration_1","FALSE","1.13190540075302"
"132","Hake_2019_semi-parametric_selex","recdev_2","iteration_10","FALSE","1.32262130180995"
"133","Hake_2019_semi-parametric_selex","recdev_2","iteration_2","FALSE","1.34471048514048"
"134","Hake_2019_semi-parametric_selex","recdev_2","iteration_3","FALSE","1.04065611759822"
"135","Hake_2019_semi-parametric_selex","recdev_2","iteration_4","FALSE","1.21175715128581"
"136","Hake_2019_semi-parametric_selex","recdev_2","iteration_5","FALSE","1.1894680817922"
"137","Hake_2019_semi-parametric_selex","recdev_2","iteration_6","FALSE","1.14188371896744"
"138","Hake_2019_semi-parametric_selex","recdev_2","iteration_7","FALSE","1.19459023475647"
"139","Hake_2019_semi-parametric_selex","recdev_2","iteration_8","FALSE","1.27758136590322"
"140","Hake_2019_semi-parametric_selex","recdev_2","iteration_9","FALSE","1.11846524874369"
"141","Hake_2019_semi-parametric_selex","recdev_3","iteration_1","FALSE","1.29071386655172"
"142","Hake_2019_semi-parametric_selex","recdev_3","iteration_10","FALSE","1.28565483093262"
"143","Hake_2019_semi-parametric_selex","recdev_3","iteration_2","FALSE","1.00866860151291"
"144","Hake_2019_semi-parametric_selex","recdev_3","iteration_3","FALSE","1.28514784971873"
"145","Hake_2019_semi-parametric_selex","recdev_3","iteration_4","FALSE","1.17808905045191"
"146","Hake_2019_semi-parametric_selex","recdev_3","iteration_5","FALSE","1.10121598243713"
"147","Hake_2019_semi-parametric_selex","recdev_3","iteration_6","FALSE","1.2287167986234"
"148","Hake_2019_semi-parametric_selex","recdev_3","iteration_7","FALSE","1.20651956796646"
"149","Hake_2019_semi-parametric_selex","recdev_3","iteration_8","FALSE","1.14963428179423"
"150","Hake_2019_semi-parametric_selex","recdev_3","iteration_9","FALSE","1.27648796637853"
"151","platoons","recdev_1","iteration_1","TRUE","6.97634004751841"
"152","platoons","recdev_1","iteration_10","TRUE","7.11550336678823"
"153","platoons","recdev_1","iteration_2","TRUE","5.6093265692393"
"154","platoons","recdev_1","iteration_3","TRUE","4.71661665042241"
"155","platoons","recdev_1","iteration_4","TRUE","6.91781808535258"
"156","platoons","recdev_1","iteration_5","TRUE","4.53399026791255"
"157","platoons","recdev_1","iteration_6","TRUE","4.57958936691284"
"158","platoons","recdev_1","iteration_7","TRUE","7.14380766948064"
"159","platoons","recdev_1","iteration_8","TRUE","4.70747089783351"
"160","platoons","recdev_1","iteration_9","TRUE","4.47044858535131"
"161","platoons","recdev_2","iteration_1","TRUE","7.98120745023092"
"162","platoons","recdev_2","iteration_10","TRUE","4.67038111686707"
"163","platoons","recdev_2","iteration_2","TRUE","5.51852071285248"
"164","platoons","recdev_2","iteration_3","TRUE","6.75668391784032"
"165","platoons","recdev_2","iteration_4","TRUE","4.41728971799215"
"166","platoons","recdev_2","iteration_5","TRUE","6.78100658257802"
"167","platoons","recdev_2","iteration_6","TRUE","4.63109374841054"
"168","platoons","recdev_2","iteration_7","TRUE","4.66558539867401"
"169","platoons","recdev_2","iteration_8","TRUE","6.46155488491058"
"170","platoons","recdev_2","iteration_9","TRUE","4.50040874878565"
"171","platoons","recdev_3","iteration_1","TRUE","5.55933891534805"
"172","platoons","recdev_3","iteration_10","TRUE","7.30285185178121"
"173","platoons","recdev_3","iteration_2","TRUE","5.63076936801275"
"174","platoons","recdev_3","iteration_3","TRUE","4.83727895021439"
"175","platoons","recdev_3","iteration_4","TRUE","6.52290683190028"
"176","platoons","recdev_3","iteration_5","TRUE","4.61762986580531"
"177","platoons","recdev_3","iteration_6","TRUE","4.43618675072988"
"178","platoons","recdev_3","iteration_7","TRUE","6.96769859790802"
"179","platoons","recdev_3","iteration_8","TRUE","4.70070145130157"
"180","platoons","recdev_3","iteration_9","TRUE","4.51233790318171"
